id,location,start_time,end_time,instructor,instance_id,name,track,culture,topic_and_subtopic,adult_only,description_book,description_web,duration,fee_itemization,handout_fee,handout_limit,material_fee,material_limit,repeat_count,updated_at
772,A&S 2,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,THL Wu Yun,1132,Heraldic Customer Service,Heraldry,"",,false,How to be a better local officer/consultation herald with a few relatively painless changes.,So you went to the bathroom during the bizmeet and now you're the herald. Or maybe you've been your group's herald since Cariadoc was a bootblack and there's no one to take over the office. Come learn some ways to be a better officer and serve your group without letting the heraldry go by the wayside.,1.0,"",,,,,2,2013-04-22 12:02:12 -0400
119,A&S 3,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lady Genoveva von Lübeck,178,Blackwork Embroidery: Make-and-Take Pincushion,Pennsic University,European,,false,Learn basic blackwork embroidery stitches while creating a period-style pincushion. Bring scissors.,"Ever been curious about the stunningly detailed blackwork embroidery popular during the later periods? In this class you will learn the basic techniques of blackwork, including the Holbein (double running) stitch and backstitch. Includes tips on preparing your ground cloth, starting and stopping stitches, and using beeswax to strengthen and aid stitching. No embroidery experience necessary! Participants will receive a “make-and-take” blackwork kit that includes everything you need to make a small pincushion with a blackworked embroidery cover (thread, needle, cloth, wax, and instructional booklet). Please bring a pair of scissors and magnifying glasses if you have any difficulties seeing up close. (I will have a couple of these on hand if necessary, too.)",1.0,"Box ($2), cloth and stuffing ($1.50), needle (.50), wax (.50), silk thread (.50).",,20,5.0,15,1,2013-04-16 10:13:30 -0400
74,A&S 6,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Mistress Rosemounde of Mercia,111,Period Bread,Pennsic University,European,,false,Learn about bread and bread making in Europe in SCA periods.,Bread and bread making in Europe throughout SCA periods. Includes discussion of replicating period flours and breads.,1.0,"",,25,,,1,2013-04-06 23:17:07 -0400
60,A&S 14,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Dr Henry Best,79,Divination: Scrying and Intuition,Pennsic University,"",,false,Divination via access to your subconscious intuition. Scrying & vision-seeking plus physical ideomotor systems such as pendulums and dowsing.,Divination via access to your subconscious intuition. Scrying & vision-seeking plus physical ideomotor systems such as pendulums and dowsing. How to hack your own nervous system to access information you didn't even know you had.,1.0,"",,,,,1,2013-04-07 13:53:08 -0400
763,Amphitheater,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lord Iain Douglas,1115,Contact Juggling,Performing Arts,Other,,false,Learn the art of contact juggling from a professional juggler.,"",1.0,"",,,,,1,2013-04-22 21:05:51 -0400
367,Casa Bardicci (E19),2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lord Maurin Lessault,552,Dancing at the Villa: *La Marchesana* and *Spero*,European Dance,European,,false,Come learn these two fun and flirty 15th-C Italian dances in the perfect Pennsic location: Casa Bardicci.,"",1.0,"",,,,,1,2013-04-17 05:31:35 -0400
299,Dance Tent,2013-07-31 12:00:00 -0400,2013-07-31 14:00:00 -0400,Master Lorenzo Petrucci,441,A Ball in the Style of Ulm,European Dance,European,,false,"Her Majesty, Queen Eridani of Trimaris, invites you to a midday entertainment. The ball will be in the Ulm style, with couples choosing the dances","Her Majesty, Queen Eridani Aureus of Trimaris, invites you to a midday entertainment. The ball will be like one held in 1503 in the city of Ulm, with couples choosing the dances, starting with the highest ranking guests and going all the way down the line. As at any good party, refreshments will be served.",2.0,"",,,,,1,2013-04-08 16:39:06 -0400
370,Livonia Smithery (170),2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lord T W,563,Beginning *Repoussé* & Chasing,Pennsic University,"",,false,Hands-on class; will make a copper foil rose.,Hands-on class; will make a copper foil rose.,1.0,Hand out,5.0,12,,,10,2013-04-17 14:30:23 -0400
769,Middle Eastern Tent,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lady Kyla,1126,Beginning Belly Dancing,Middle Eastern,Middle Eastern,,false,Very basic steps and movements of belly dancing.,"",1.0,"",,,,,2,2013-04-23 16:19:59 -0400
131,New PA Tent,2013-07-31 12:00:00 -0400,2013-07-31 13:00:00 -0400,Lady Rachel Dalicieux,197,Known World Children's Choir,Performing Arts,European,,false,The Known World Children's Choir is open to children up to age 11 who love to sing and want to perform with the Known World Choir and Friends concert.,The Known World Children's Choir is open to children up to age 11 who love to sing and want to perform with the Known World Choir and Friends concert.,1.0,"",,,,,6,2013-04-10 08:19:12 -0400
348,Performing Arts Tent,2013-07-31 12:00:00 -0400,2013-07-31 14:00:00 -0400,Master Cerian Cantwr,511,Mini-Bardic Madness,Performing Arts,"",,false,"If you can't come to Bardic Madness, it can come to you. The challenges for one Fyt of Madness are at http://tilted-windmill.com/mini_madness.html","Heard about Bardic Madness, but been unable to attend? Now's your chance.  We will be answering one Fyt of Madness at Pennsic. The challenges for it can be found at http://tilted-windmill.com/mini_madness.html. This is an excellent opportunity for new and experienced performers alike. Gentles wishing to participate as a supportive audience are most welcome to attend.",2.0,"",,,,,2,2013-04-23 16:20:00 -0400
34,Æthelmearc Cooking Lab,2013-07-31 12:00:00 -0400,2013-07-31 14:00:00 -0400,Lord Galefridus Peregrinus,17,Recipe Redaction,Cooking Lab,Multiple Cultures,,false,"We will discuss recipe redaction, from identifying ingredients to serving. Focus will be on thinking through the process. We will eat the results!","We will discuss recipe redaction, from identifying ingredients to cooking times to serving. Focus will be on thinking through the process, using a specific recipe as an example. While only one recipe will be prepared, students are encouraged to bring recipes of their own to work with.",2.0,Foodstuffs and other consumables,,,3.0,10,2,2013-04-07 14:25:26 -0400
23,A&S 3,2013-07-31 13:00:00 -0400,2013-07-31 14:00:00 -0400,Dyryck Hastings,19,Piracy in the SCA Era,Pennsic University,Multiple Cultures,,false,"The history of piracy, what pirates did and didn't do, wore and didn't wear, and what they were really like.","This class will go into the history of piracy, what pirates did and didn't do, wore and didn't wear and what they were really like.",1.0,"",,,,,2,2013-04-06 23:17:07 -0400
91,A&S 4,2013-07-31 13:00:00 -0400,2013-07-31 14:00:00 -0400,Master Michael Graham,138,The Humoral Doctrine,Pennsic University,European,,false,The instructor will explain the origins and structure of the prevailing doctrine of health in the medieval and Renaissance period.,"",1.0,photocopies,,,,,1,2013-04-06 23:17:08 -0400
